product_id,name,community,category,price,rating,tags
S008,Gold Thread Pagri,Sikh,Accessory,60.00,4.7,"pagri,gold,thread,wedding,formal"
S009,Punjabi Jutti Embroidered,Sikh,Accessory,45.00,4.6,"jutti,embroidered,footwear,craft,heritage"
S010,Heritage Broadcloth Jacket,Sikh,Top,130.00,4.5,"jacket,broadcloth,heritage,formal,men"
B001,Zen Meditation Robe,Buddhist,Full Length,240.00,4.7,"robe,meditation,zen,linen,mindful"
B002,Organic Hemp Tunic,Buddhist,Top,185.00,4.6,"hemp,organic,tunic,sustainable,natural"
B003,Minimalist Linen Wrap Dress,Buddhist,Full Length,310.00,4.8,"linen,wrap,minimalist,elegant,natural"
B004,Bamboo Silk Scarf,Buddhist,Accessory,65.00,4.5,"bamboo,silk,scarf,sustainable,soft"
B005,Natural Dye Cotton Pants,Buddhist,Bottom,95.00,4.4,"cotton,natural-dye,pants,casual,earth"
B006,Handwoven Prayer Shawl,Buddhist,Accessory,120.00,4.8,"shawl,handwoven,prayer,craft,traditional"
B007,Eco Linen Palazzo,Buddhist,Bottom,80.00,4.3,"linen,palazzo,eco,comfort,wide"
B008,Mindful Cotton Kurta,Buddhist,Top,70.00,4.5,"cotton,kurta,mindful,simple,daily"
B009,Lotus Print Silk Top,Buddhist,Top,145.00,4.6,"silk,lotus,print,elegant,nature"
B010,Tranquil Linen Suit,Buddhist,Full Length,280.00,4.7,"linen,suit,tranquil,formal,natural"
C001,Grace Lace Dress,Christian,Full Length,425.00,4.8,"lace,dress,grace,sunday,elegant"
C002,Sacred Linen Suit,Christian,Full Length,890.00,4.9,"linen,suit,sacred,premium,formal"
C003,Noon Prayer Maxi,Christian,Full Length,350.00,4.7,"maxi,prayer,modest,elegant,sunday"
C004,Heritage Essentials Set,Christian,Full Length,210.00,4.5,"essentials,heritage,set,casual,classic"
C005,Fine Silk Sunday Blouse,Christian,Top,185.00,4.6,"silk,blouse,sunday,fine,elegant"
C006,Cathedral Lace Veil,Christian,Accessory,95.00,4.7,"lace,veil,cathedral,bridal,traditional"
C007,Choir Robe Premium,Christian,Full Length,275.00,4.4,"choir,robe,premium,formal,church"
C008,Modest Pearl Button Cardigan,Christian,Top,120.00,4.5,"cardigan,pearl,modest,casual,elegant"
C009,Sunday Best Linen Trousers,Christian,Bottom,145.00,4.3,"linen,trousers,sunday,classic,men"
C010,Baptism Ceremony Gown,Christian,Full Length,320.00,4.8,"baptism,gown,ceremony,white,formal"
C011,Cross Pendant Silk Tie,Christian,Accessory,45.00,4.4,"tie,silk,cross,pendant,men"
C012,Vintage Lace Collar Dress,Christian,Full Length,380.00,4.6,"vintage,lace,collar,dress,heritage"
